Target Distance: 100, Step Size: 5
(x,y)=(-24.0328, 35.9613)
(x,y)=(-29.0132, 36.4031)
(x,y)=(-24.7016, 33.8713)
(x,y)=(-29.3103, 31.9322)
(x,y)=(-24.4136, 32.943)
(x,y)=(-24.2145, 27.947)
(x,y)=(-19.7544, 30.2071)
(x,y)=(-15.0645, 31.9403)
(x,y)=(-10.1277, 31.1474)
(x,y)=(-11.2034, 36.0303)
(x,y)=(-15.35, 33.2363)
(x,y)=(-19.6838, 35.7299)
(x,y)=(-24.5714, 34.6759)
(x,y)=(-29.0113, 32.3763)
(x,y)=(-24.0818, 33.2131)
(x,y)=(-29.0769, 32.9919)
(x,y)=(-25.3661, 36.343)
(x,y)=(-21.195, 39.1002)
(x,y)=(-24.9059, 42.4512)
(x,y)=(-29.8198, 43.375)
(x,y)=(-25.486, 45.8687)
(x,y)=(-20.7961, 47.6019)
(x,y)=(-25.7961, 47.6018)
(x,y)=(-21.0909, 45.9102)
(x,y)=(-22.1232, 41.018)
(x,y)=(-19.0603, 37.0659)
(x,y)=(-20.8557, 41.7324)
(x,y)=(-19.1433, 46.4301)
(x,y)=(-23.2899, 43.6361)
(x,y)=(-21.7869, 38.8674)
(x,y)=(-23.7054, 34.2501)
(x,y)=(-19.7398, 37.2954)
(x,y)=(-16.6422, 41.2203)
(x,y)=(-21.6297, 41.5739)
(x,y)=(-24.1424, 37.2512)
(x,y)=(-19.1495, 37.5166)
(x,y)=(-22.6456, 33.9421)
(x,y)=(-27.145, 36.1228)
(x,y)=(-23.8769, 39.9069)
(x,y)=(-25.9576, 44.4534)
(x,y)=(-29.7561, 47.7048)
(x,y)=(-31.3851, 52.432)
(x,y)=(-29.9668, 47.6374)
(x,y)=(-26.4078, 44.1255)
(x,y)=(-21.4784, 44.9622)
(x,y)=(-18.2775, 41.1211)
(x,y)=(-17.5502, 46.0679)
(x,y)=(-22.5453, 45.8467)
(x,y)=(-18.2337, 43.3148)
(x,y)=(-18.6976, 38.3364)
(x,y)=(-18.1455, 33.367)
(x,y)=(-18.0792, 38.3665)
(x,y)=(-22.8923, 39.7211)
(x,y)=(-27.501, 37.782)
(x,y)=(-27.2578, 42.7761)
(x,y)=(-22.5526, 41.0846)
(x,y)=(-20.6751, 45.7187)
(x,y)=(-17.6122, 41.7666)
(x,y)=(-22.5417, 42.6032)
(x,y)=(-19.4094, 38.706)
(x,y)=(-17.6142, 43.3726)
(x,y)=(-13.0769, 45.4734)
(x,y)=(-17.8113, 43.8653)
(x,y)=(-12.9236, 42.8114)
(x,y)=(-16.9946, 45.7143)
(x,y)=(-17.8967, 50.6323)
(x,y)=(-15.4224, 54.9771)
(x,y)=(-10.4929, 55.8139)
(x,y)=(-8.21305, 51.3639)
(x,y)=(-3.21305, 51.3639)
(x,y)=(-4.15855, 46.4541)
(x,y)=(-2.11814, 51.0188)
(x,y)=(1.44084, 47.5069)
(x,y)=(-3.46468, 46.5395)
(x,y)=(0.527796, 43.5295)
(x,y)=(-0.975023, 38.7607)
(x,y)=(-5.95134, 38.2747)
(x,y)=(-6.28303, 43.2637)
(x,y)=(-1.36112, 42.3834)
(x,y)=(3.63183, 42.6489)
(x,y)=(-1.32984, 43.2667)
(x,y)=(0.830911, 47.7757)
(x,y)=(-1.64358, 52.1205)
(x,y)=(1.62475, 48.3366)
(x,y)=(-2.57061, 45.6165)
(x,y)=(-6.48176, 48.7314)
(x,y)=(-10.0406, 45.2194)
(x,y)=(-14.5779, 47.3201)
(x,y)=(-9.95225, 49.2182)
(x,y)=(-6.51982, 45.5825)
(x,y)=(-3.15228, 41.8866)
(x,y)=(1.43907, 43.8664)
(x,y)=(5.9763, 45.9672)
(x,y)=(10.5677, 47.947)
(x,y)=(7.20023, 44.251)
(x,y)=(6.08153, 39.3777)
(x,y)=(5.22309, 34.452)
(x,y)=(3.51062, 39.1496)
(x,y)=(-1.4886, 39.2379)
(x,y)=(-1.02457, 34.2595)
(x,y)=(2.27701, 30.5046)
(x,y)=(-2.58095, 31.6879)
(x,y)=(2.12423, 29.9964)
(x,y)=(6.54355, 32.3351)
(x,y)=(1.9699, 30.3148)
(x,y)=(-0.581114, 34.615)
(x,y)=(-5.58111, 34.6149)
(x,y)=(-8.13213, 38.9152)
(x,y)=(-8.59601, 33.9367)
(x,y)=(-7.7812, 38.8699)
(x,y)=(-9.6997, 34.2526)
(x,y)=(-4.92433, 35.7344)
(x,y)=(-1.36535, 32.2225)
(x,y)=(-2.69871, 37.0414)
(x,y)=(1.26688, 40.0868)
(x,y)=(3.89349, 44.3413)
(x,y)=(-0.796535, 46.0744)
(x,y)=(-0.553367, 51.0685)
(x,y)=(3.94597, 53.2493)
(x,y)=(0.677749, 49.4653)
(x,y)=(-4.29857, 48.9792)
(x,y)=(-9.2125, 49.903)
(x,y)=(-14.118, 48.9356)
(x,y)=(-18.5374, 51.2742)
(x,y)=(-20.2913, 46.5919)
(x,y)=(-24.4625, 49.3489)
(x,y)=(-24.0866, 44.3631)
(x,y)=(-28.8874, 42.9658)
(x,y)=(-31.3232, 38.5993)
(x,y)=(-34.2442, 34.5412)
(x,y)=(-39.241, 34.718)
(x,y)=(-42.4077, 38.5874)
(x,y)=(-45.3646, 42.6194)
(x,y)=(-50.3487, 42.2215)
(x,y)=(-45.5734, 43.7033)
(x,y)=(-50.0728, 45.884)
(x,y)=(-51.1915, 41.0108)
(x,y)=(-56.0696, 42.1079)
(x,y)=(-59.6285, 38.5959)
(x,y)=(-61.8689, 43.0658)
(x,y)=(-61.7141, 48.0634)
(x,y)=(-63.09, 43.2565)
(x,y)=(-60.4633, 47.511)
(x,y)=(-55.616, 46.2847)
(x,y)=(-60.6159, 46.2405)
(x,y)=(-56.2601, 43.7854)
(x,y)=(-53.7092, 48.0857)
(x,y)=(-58.6311, 47.2053)
(x,y)=(-62.8971, 44.5974)
(x,y)=(-67.8964, 44.6858)
(x,y)=(-66.0598, 40.0353)
(x,y)=(-70.9965, 39.2422)
(x,y)=(-75.9634, 38.6681)
(x,y)=(-73.0785, 42.7519)
(x,y)=(-77.9661, 41.6979)
(x,y)=(-78.2095, 46.692)
(x,y)=(-82.1751, 49.7372)
(x,y)=(-82.9462, 44.797)
(x,y)=(-78.409, 46.8978)
(x,y)=(-79.8272, 42.1032)
(x,y)=(-84.8272, 42.103)
(x,y)=(-88.9236, 39.2361)
(x,y)=(-90.5527, 43.9633)
The .Test: After 275 steps, the subject has the following locations:
(x,y)=(-90.5527, 43.9633)
 or
(m,a) = (100.661, 2.68961)
Average outward distance per step = 0.366039
(x,y)=(-2.24037, 4.46998)
(x,y)=(-1.29472, -0.439778)
(x,y)=(-0.654753, -5.39865)
(x,y)=(1.74231, -1.0107)
(x,y)=(6.20233, 1.24943)
(x,y)=(10.7396, 3.35026)
(x,y)=(15.7364, 3.52725)
(x,y)=(20.7034, 2.95333)
(x,y)=(16.508, 0.233222)
(x,y)=(21.4798, 0.76331)
(x,y)=(23.8381, -3.64561)
(x,y)=(18.8881, -2.94001)
(x,y)=(19.1313, 2.05407)
(x,y)=(19.1534, -2.94588)
(x,y)=(14.8196, -0.452315)
(x,y)=(18.5007, -3.83606)
(x,y)=(13.5867, -2.9123)
(x,y)=(9.5417, -5.85128)
(x,y)=(14.389, -7.07754)
(x,y)=(19.3794, -7.38699)
(x,y)=(14.5322, -8.6134)
(x,y)=(9.82702, -10.3051)
(x,y)=(6.5588, -14.0891)
(x,y)=(10.2696, -10.7379)
(x,y)=(14.4888, -13.4208)
(x,y)=(10.8379, -10.0046)
(x,y)=(6.66667, -7.24759)
(x,y)=(11.6667, -7.24759)
(x,y)=(6.93233, -8.8557)
(x,y)=(7.39636, -13.8341)
(x,y)=(2.93627, -11.5741)
(x,y)=(6.46392, -8.03072)
(x,y)=(3.3317, -11.9281)
(x,y)=(8.32994, -12.0607)
(x,y)=(13.092, -13.5846)
(x,y)=(18.042, -12.8788)
(x,y)=(22.5219, -15.0992)
(x,y)=(19.5296, -19.105)
(x,y)=(23.8185, -16.535)
(x,y)=(28.3923, -18.5552)
(x,y)=(31.3133, -22.6132)
(x,y)=(26.6876, -20.7152)
(x,y)=(26.4886, -25.7112)
(x,y)=(26.8201, -20.7222)
(x,y)=(29.0209, -25.2118)
(x,y)=(33.3766, -27.6669)
(x,y)=(38.2448, -28.8072)
(x,y)=(35.6938, -24.5069)
(x,y)=(37.4478, -29.1892)
(x,y)=(38.8238, -33.9961)
(x,y)=(43.8112, -33.6424)
(x,y)=(47.9078, -36.5092)
(x,y)=(49.703, -31.8426)
(x,y)=(52.022, -27.4129)
(x,y)=(49.2097, -23.2787)
(x,y)=(49.6295, -18.2964)
(x,y)=(44.6577, -17.7664)
(x,y)=(47.0936, -22.1329)
(x,y)=(47.6016, -17.1588)
(x,y)=(48.2852, -12.2058)
(x,y)=(51.4861, -16.0469)
(x,y)=(56.483, -15.8699)
(x,y)=(55.0223, -11.0881)
(x,y)=(51.5261, -14.6626)
(x,y)=(53.8451, -10.2329)
(x,y)=(48.8469, -10.3656)
(x,y)=(47.5564, -15.1962)
(x,y)=(42.6269, -14.3596)
(x,y)=(38.5818, -17.2985)
(x,y)=(34.9009, -20.6824)
(x,y)=(39.2781, -18.2658)
(x,y)=(42.3057, -14.2867)
(x,y)=(47.2492, -13.5373)
(x,y)=(45.4539, -8.87076)
(x,y)=(49.2522, -5.61921)
(x,y)=(48.3501, -0.701269)
(x,y)=(51.6846, 3.0244)
(x,y)=(49.6441, 7.58906)
(x,y)=(44.6824, 8.20693)
(x,y)=(49.1818, 10.3878)
(x,y)=(54.0957, 11.3117)
(x,y)=(49.1901, 10.3443)
(x,y)=(53.2353, 7.40544)
(x,y)=(56.0474, 11.5397)
(x,y)=(54.5446, 6.77086)
(x,y)=(59.0439, 8.95168)
(x,y)=(55.1054, 5.87136)
(x,y)=(50.606, 8.05205)
(x,y)=(51.9393, 12.871)
(x,y)=(47.3135, 14.7691)
(x,y)=(42.3466, 14.195)
(x,y)=(45.2315, 18.2788)
(x,y)=(48.3638, 14.3816)
(x,y)=(44.3188, 11.4426)
(x,y)=(42.4823, 6.79205)
(x,y)=(38.5712, 9.907)
(x,y)=(34.9202, 13.3232)
(x,y)=(37.6217, 17.5305)
(x,y)=(38.2176, 22.4949)
(x,y)=(43.2168, 22.5834)
(x,y)=(41.3804, 17.9329)
(x,y)=(41.8883, 22.907)
(x,y)=(45.7436, 26.0908)
(x,y)=(43.042, 30.2981)
(x,y)=(38.1451, 31.3087)
(x,y)=(43.1444, 31.3972)
(x,y)=(42.1121, 26.5049)
(x,y)=(37.5034, 24.5659)
(x,y)=(32.5365, 23.9918)
(x,y)=(27.5367, 23.9476)
(x,y)=(31.7321, 21.2276)
(x,y)=(35.6977, 24.2729)
(x,y)=(37.5752, 28.907)
(x,y)=(41.2563, 25.5233)
(x,y)=(36.6827, 23.5029)
(x,y)=(41.3572, 21.7284)
(x,y)=(36.3603, 21.9052)
(x,y)=(40.3259, 24.9506)
(x,y)=(45.2314, 23.9833)
(x,y)=(44.2424, 28.8845)
(x,y)=(45.188, 23.9748)
(x,y)=(40.5294, 25.7906)
(x,y)=(45.2194, 27.5239)
(x,y)=(50.2068, 27.8776)
(x,y)=(54.0339, 24.66)
(x,y)=(55.7047, 19.9474)
(x,y)=(60.573, 18.8071)
(x,y)=(63.2373, 14.5761)
(x,y)=(60.3164, 10.518)
(x,y)=(59.6325, 15.471)
(x,y)=(54.6374, 15.2498)
(x,y)=(58.8085, 18.0069)
(x,y)=(56.1069, 22.2142)
(x,y)=(60.4407, 24.7079)
(x,y)=(65.2028, 23.184)
(x,y)=(60.2528, 23.8896)
(x,y)=(55.6792, 21.8693)
(x,y)=(52.183, 18.2948)
(x,y)=(47.894, 20.8647)
(x,y)=(52.5992, 19.1731)
(x,y)=(51.0541, 23.9284)
(x,y)=(49.6359, 19.1338)
(x,y)=(50.2318, 24.0981)
(x,y)=(52.9703, 28.2815)
(x,y)=(49.0592, 31.3964)
(x,y)=(44.1624, 32.407)
(x,y)=(39.5709, 34.3867)
(x,y)=(39.1071, 29.4082)
(x,y)=(36.4057, 25.2008)
(x,y)=(39.6403, 29.0136)
(x,y)=(37.7218, 24.3963)
(x,y)=(38.7107, 29.2975)
(x,y)=(36.4703, 33.7675)
(x,y)=(35.9623, 38.7416)
(x,y)=(33.4112, 43.0419)
(x,y)=(32.7274, 47.9949)
(x,y)=(36.4382, 51.346)
(x,y)=(35.8862, 46.3766)
(x,y)=(35.7758, 41.3778)
(x,y)=(40.7427, 40.8039)
(x,y)=(44.0773, 44.5296)
(x,y)=(47.8468, 47.8145)
(x,y)=(47.4711, 42.8286)
(x,y)=(42.6463, 41.5166)
(x,y)=(44.9653, 45.9463)
(x,y)=(43.0059, 50.5464)
(x,y)=(45.9626, 54.5785)
(x,y)=(40.9644, 54.4457)
(x,y)=(45.9595, 54.2246)
(x,y)=(47.2502, 49.3941)
(x,y)=(42.4371, 50.7486)
(x,y)=(47.4364, 50.8371)
(x,y)=(43.8159, 47.3886)
(x,y)=(39.7969, 50.3632)
(x,y)=(44.559, 48.8393)
(x,y)=(45.461, 53.7572)
(x,y)=(43.1813, 49.3072)
(x,y)=(38.447, 47.6991)
(x,y)=(36.6105, 43.0486)
(x,y)=(37.2942, 48.0016)
(x,y)=(38.3697, 52.8845)
(x,y)=(39.4886, 48.0113)
(x,y)=(41.1594, 43.2988)
(x,y)=(44.0804, 39.2407)
(x,y)=(39.332, 40.8067)
(x,y)=(35.651, 37.4229)
(x,y)=(32.1866, 41.0281)
(x,y)=(36.5851, 38.6505)
(x,y)=(34.3447, 43.1204)
(x,y)=(36.8576, 38.7978)
(x,y)=(41.8544, 38.9748)
(x,y)=(40.6496, 34.1221)
(x,y)=(43.1625, 29.7994)
(x,y)=(38.182, 30.2412)
(x,y)=(39.6426, 35.0232)
(x,y)=(35.2653, 37.4396)
(x,y)=(40.1015, 38.7089)
(x,y)=(45.1007, 38.7974)
(x,y)=(49.6193, 36.6566)
(x,y)=(45.1592, 38.9166)
(x,y)=(47.7858, 43.1711)
(x,y)=(43.2485, 45.2718)
(x,y)=(46.2052, 49.3039)
(x,y)=(46.8452, 44.345)
(x,y)=(50.8108, 47.3904)
(x,y)=(50.5674, 52.3845)
(x,y)=(53.902, 56.1101)
(x,y)=(50.1912, 59.4612)
(x,y)=(50.6109, 64.4435)
(x,y)=(46.1509, 66.7035)
(x,y)=(50.3463, 63.9835)
(x,y)=(47.1456, 60.1422)
(x,y)=(42.5198, 62.0403)
(x,y)=(37.6726, 60.8139)
(x,y)=(42.6342, 61.4319)
(x,y)=(37.6975, 60.6388)
(x,y)=(33.0389, 62.4546)
(x,y)=(29.8382, 58.6134)
(x,y)=(26.2793, 55.1013)
(x,y)=(25.3338, 50.1915)
(x,y)=(21.0678, 47.5837)
(x,y)=(16.7788, 50.1535)
(x,y)=(16.095, 55.1066)
(x,y)=(13.3195, 50.9476)
(x,y)=(9.0535, 48.3397)
(x,y)=(7.93479, 43.4665)
(x,y)=(8.04543, 38.4677)
(x,y)=(11.3135, 42.2518)
(x,y)=(15.5328, 39.5689)
(x,y)=(13.7374, 44.2355)
(x,y)=(11.3402, 48.6234)
(x,y)=(6.86039, 46.4028)
(x,y)=(7.54408, 51.3558)
(x,y)=(5.03135, 47.0331)
(x,y)=(2.07451, 51.0651)
(x,y)=(6.14541, 53.9681)
(x,y)=(7.94063, 58.6348)
(x,y)=(12.675, 57.0268)
(x,y)=(17.6742, 57.1153)
(x,y)=(22.4086, 55.5073)
(x,y)=(25.1842, 51.3484)
(x,y)=(29.3308, 48.5546)
(x,y)=(24.3545, 48.0686)
(x,y)=(21.7657, 43.791)
(x,y)=(24.7581, 39.7853)
(x,y)=(20.5389, 37.1023)
(x,y)=(16.6277, 40.2172)
(x,y)=(21.5996, 40.7473)
(x,y)=(23.1867, 36.0059)
(x,y)=(21.8533, 40.8249)
(x,y)=(16.9752, 41.922)
(x,y)=(16.1168, 36.9962)
(x,y)=(11.4116, 35.3046)
(x,y)=(6.46166, 36.0102)
(x,y)=(8.66238, 31.5205)
(x,y)=(8.68451, 26.5206)
(x,y)=(3.77058, 27.4443)
(x,y)=(-0.977856, 29.0103)
(x,y)=(-5.56927, 30.99)
(x,y)=(-9.09703, 34.5333)
(x,y)=(-6.97613, 30.0054)
(x,y)=(-6.9099, 35.0049)
(x,y)=(-8.95044, 39.5696)
(x,y)=(-4.80381, 36.7758)
(x,y)=(-3.98901, 41.7089)
(x,y)=(-5.70148, 46.4065)
(x,y)=(-0.703239, 46.2739)
(x,y)=(1.88574, 41.9964)
(x,y)=(6.86989, 41.5987)
(x,y)=(4.99221, 46.2327)
(x,y)=(5.58811, 51.1971)
(x,y)=(0.62643, 51.8149)
(x,y)=(-0.791737, 47.0203)
(x,y)=(4.02125, 48.3749)
(x,y)=(-0.962891, 47.977)
(x,y)=(-1.90839, 43.0673)
(x,y)=(-3.53744, 47.7944)
(x,y)=(-1.65989, 52.4285)
(x,y)=(-0.156929, 47.6598)
(x,y)=(3.80866, 50.7051)
(x,y)=(5.92956, 46.1772)
(x,y)=(9.64033, 49.5284)
(x,y)=(14.4652, 48.2165)
(x,y)=(18.116, 51.6328)
(x,y)=(19.1049, 56.534)
(x,y)=(14.5676, 58.6347)
(x,y)=(11.2994, 54.8507)
(x,y)=(8.23669, 50.8985)
(x,y)=(3.26485, 51.4285)
(x,y)=(8.01324, 52.9946)
(x,y)=(7.94686, 57.9942)
(x,y)=(4.11988, 54.7764)
(x,y)=(-0.873075, 55.0416)
(x,y)=(-3.2312, 50.6326)
(x,y)=(0.734387, 53.678)
(x,y)=(5.23372, 55.8588)
(x,y)=(8.76137, 59.4022)
(x,y)=(10.0946, 64.2212)
(x,y)=(14.5939, 66.402)
(x,y)=(18.2145, 62.9536)
(x,y)=(14.3034, 66.0686)
(x,y)=(19.2469, 66.818)
(x,y)=(19.5784, 71.807)
(x,y)=(21.9755, 76.1949)
(x,y)=(26.7099, 74.5869)
(x,y)=(22.376, 77.0805)
(x,y)=(24.4164, 81.6452)
(x,y)=(26.5373, 77.1173)
(x,y)=(27.8705, 81.9363)
(x,y)=(26.7086, 86.7994)
(x,y)=(31.3343, 88.6976)
(x,y)=(32.3667, 83.8054)
(x,y)=(34.4876, 79.2775)
(x,y)=(34.6423, 84.2751)
(x,y)=(34.8855, 89.2692)
(x,y)=(39.7823, 90.2799)
(x,y)=(35.2638, 88.139)
(x,y)=(38.8844, 84.6906)
(x,y)=(39.3923, 89.6647)
(x,y)=(36.6907, 93.872)
The .Test: After 320 steps, the subject has the following locations:
(x,y)=(36.6907, 93.872)
 or
(m,a) = (100.788, 1.1982)
Average outward distance per step = 0.314962
(x,y)=(-4.81303, 1.35453)
(x,y)=(-2.81296, -3.22802)
(x,y)=(-3.97491, 1.6351)
(x,y)=(0.14675, 4.46563)
(x,y)=(-0.273197, 9.44797)
(x,y)=(4.46119, 7.84)
(x,y)=(8.37225, 10.9551)
(x,y)=(9.61995, 15.7969)
(x,y)=(14.0599, 13.4975)
(x,y)=(17.7107, 16.9138)
(x,y)=(21.1432, 13.2781)
(x,y)=(21.3423, 8.28206)
(x,y)=(16.8822, 10.5421)
(x,y)=(21.879, 10.719)
(x,y)=(26.8665, 11.0728)
(x,y)=(31.7446, 12.1701)
(x,y)=(36.3703, 14.0683)
(x,y)=(37.1851, 19.0014)
(x,y)=(42.1849, 18.9573)
(x,y)=(45.3858, 15.1161)
(x,y)=(41.2893, 12.2492)
(x,y)=(44.7856, 8.67485)
(x,y)=(42.1967, 4.39725)
(x,y)=(37.4768, 6.04706)
(x,y)=(39.6775, 1.55742)
(x,y)=(41.8382, 6.06643)
(x,y)=(40.0844, 1.38412)
(x,y)=(38.4137, -3.3285)
(x,y)=(41.546, -7.22574)
(x,y)=(46.236, -5.49249)
(x,y)=(45.3776, -10.4183)
(x,y)=(43.0584, -5.98863)
(x,y)=(41.4294, -1.26145)
(x,y)=(46.3794, -1.9669)
(x,y)=(51.3745, -2.18796)
(x,y)=(51.662, -7.17969)
(x,y)=(49.0352, -2.92525)
(x,y)=(53.8825, -4.15151)
(x,y)=(49.0246, -2.9682)
(x,y)=(54.015, -3.27766)
(x,y)=(51.0581, 0.754347)
(x,y)=(51.1688, -4.24443)
(x,y)=(46.7289, -6.54395)
(x,y)=(49.4675, -2.36059)
(x,y)=(45.0481, -0.0219929)
(x,y)=(49.9357, -1.0759)
(x,y)=(45.4559, -3.29646)
(x,y)=(40.5591, -2.28586)
(x,y)=(44.3574, 0.965694)
(x,y)=(42.4389, -3.6516)
(x,y)=(41.2341, -8.50427)
(x,y)=(39.5217, -3.80668)
(x,y)=(43.8332, -6.3385)
(x,y)=(44.5606, -1.39169)
(x,y)=(46.2729, 3.30596)
(x,y)=(43.0382, 7.11865)
(x,y)=(41.7049, 11.9376)
(x,y)=(37.3933, 9.40563)
(x,y)=(33.016, 11.8221)
(x,y)=(34.3493, 16.6411)
(x,y)=(29.6906, 18.4569)
(x,y)=(34.3651, 16.6824)
(x,y)=(29.3653, 16.6381)
(x,y)=(24.3812, 16.2402)
(x,y)=(29.353, 16.7703)
(x,y)=(24.7974, 18.8309)
(x,y)=(29.1746, 21.2475)
(x,y)=(33.6346, 23.5076)
(x,y)=(31.2765, 19.0986)
(x,y)=(36.0386, 17.5747)
(x,y)=(40.3943, 15.1196)
(x,y)=(35.8029, 17.0992)
(x,y)=(40.7085, 16.132)
(x,y)=(45.638, 16.9688)
(x,y)=(42.2705, 13.2728)
(x,y)=(37.2713, 13.3611)
(x,y)=(42.233, 13.9792)
(x,y)=(38.582, 17.3954)
(x,y)=(39.484, 22.3133)
(x,y)=(34.6261, 23.4966)
(x,y)=(32.5855, 28.0613)
(x,y)=(37.4434, 29.2448)
(x,y)=(42.1486, 27.5532)
(x,y)=(46.7574, 25.6143)
(x,y)=(43.1064, 29.0305)
(x,y)=(40.5175, 24.7529)
(x,y)=(42.8366, 29.1826)
(x,y)=(47.7242, 28.1287)
(x,y)=(52.7211, 28.3057)
(x,y)=(57.3124, 30.2855)
(x,y)=(58.2145, 35.2034)
(x,y)=(56.0536, 39.7124)
(x,y)=(51.2405, 41.0669)
(x,y)=(46.335, 40.0995)
(x,y)=(41.4382, 41.1101)
(x,y)=(45.6336, 38.3902)
(x,y)=(48.1465, 34.0675)
(x,y)=(45.5955, 38.3677)
(x,y)=(40.666, 39.2044)
(x,y)=(43.2549, 34.9269)
(x,y)=(39.3716, 31.7773)
(x,y)=(44.3434, 32.3074)
(x,y)=(40.0319, 29.7754)
(x,y)=(35.6546, 32.1919)
(x,y)=(39.119, 35.7972)
(x,y)=(34.5817, 37.8979)
(x,y)=(32.2236, 33.4889)
(x,y)=(36.9435, 35.1388)
(x,y)=(40.5025, 31.6269)
(x,y)=(44.901, 29.2493)
(x,y)=(42.2742, 33.5037)
(x,y)=(38.5046, 36.7885)
(x,y)=(43.4663, 37.4066)
(x,y)=(38.4759, 37.097)
(x,y)=(35.555, 33.0389)
(x,y)=(38.5474, 29.0332)
(x,y)=(33.6894, 30.2165)
(x,y)=(38.2808, 32.1962)
(x,y)=(33.4677, 33.5508)
(x,y)=(29.7275, 30.2326)
(x,y)=(24.7839, 30.9818)
(x,y)=(19.9956, 29.5423)
(x,y)=(16.8289, 33.4117)
(x,y)=(11.8854, 34.1609)
(x,y)=(16.847, 34.7789)
(x,y)=(20.7581, 37.894)
(x,y)=(15.8613, 38.9046)
(x,y)=(13.5031, 34.4956)
(x,y)=(10.7645, 38.6789)
(x,y)=(15.7645, 38.6789)
(x,y)=(19.757, 35.6689)
(x,y)=(18.5091, 40.5107)
(x,y)=(23.481, 41.0408)
(x,y)=(27.2505, 44.3257)
(x,y)=(30.0626, 48.4599)
(x,y)=(28.9439, 43.5867)
(x,y)=(33.9369, 43.8521)
(x,y)=(37.8754, 40.7719)
(x,y)=(35.3244, 45.0722)
(x,y)=(35.0371, 40.0804)
(x,y)=(35.1918, 45.078)
(x,y)=(32.0596, 41.1807)
(x,y)=(29.1745, 45.2644)
(x,y)=(26.5857, 40.9868)
(x,y)=(24.1499, 36.6203)
(x,y)=(19.1501, 36.576)
(x,y)=(17.3547, 41.2425)
(x,y)=(16.1928, 46.1057)
(x,y)=(11.9268, 43.4978)
(x,y)=(16.2383, 40.966)
(x,y)=(13.246, 36.9602)
(x,y)=(17.3927, 34.1664)
(x,y)=(19.5934, 29.6767)
(x,y)=(17.6749, 25.0594)
(x,y)=(18.0507, 20.0736)
(x,y)=(22.7851, 18.4656)
(x,y)=(27.7849, 18.4215)
(x,y)=(31.696, 21.5366)
(x,y)=(35.0635, 17.8407)
(x,y)=(30.3151, 19.4067)
(x,y)=(34.334, 22.3813)
(x,y)=(35.7523, 17.5867)
(x,y)=(39.8989, 14.7929)
(x,y)=(34.8989, 14.7927)
(x,y)=(37.7111, 18.927)
(x,y)=(37.3794, 23.916)
(x,y)=(39.3387, 28.5161)
(x,y)=(41.1339, 33.1827)
(x,y)=(46.118, 32.7849)
(x,y)=(50.1369, 35.7596)
(x,y)=(46.3099, 32.5418)
(x,y)=(51.2818, 33.0719)
(x,y)=(46.3148, 32.4978)
(x,y)=(50.8521, 34.5986)
(x,y)=(53.9149, 30.6466)
(x,y)=(51.915, 26.064)
(x,y)=(47.1142, 24.6667)
(x,y)=(42.2562, 25.8501)
(x,y)=(37.4314, 24.538)
(x,y)=(32.4879, 25.2873)
(x,y)=(33.9909, 20.5185)
(x,y)=(32.8289, 25.3816)
(x,y)=(34.0766, 30.2234)
(x,y)=(29.0962, 30.6653)
(x,y)=(24.5225, 28.645)
(x,y)=(21.6016, 24.5869)
(x,y)=(26.377, 26.0687)
(x,y)=(24.7063, 21.3561)
(x,y)=(22.3482, 16.9471)
(x,y)=(27.345, 17.1241)
(x,y)=(27.1017, 22.1181)
(x,y)=(23.0567, 19.1792)
(x,y)=(27.6122, 21.2399)
(x,y)=(32.186, 19.2197)
(x,y)=(36.8911, 17.5282)
(x,y)=(38.1388, 22.37)
(x,y)=(34.0938, 19.431)
(x,y)=(30.1014, 16.4209)
(x,y)=(28.1015, 11.8383)
(x,y)=(27.8582, 16.8324)
(x,y)=(31.1265, 13.0485)
(x,y)=(36.0046, 14.1457)
(x,y)=(34.5018, 9.37694)
(x,y)=(39.0574, 11.4377)
(x,y)=(41.7217, 7.20664)
(x,y)=(42.7106, 12.1079)
(x,y)=(46.0781, 8.41197)
(x,y)=(41.0977, 8.85381)
(x,y)=(36.2195, 9.95094)
(x,y)=(38.4202, 5.4613)
(x,y)=(36.5838, 0.810771)
(x,y)=(32.6453, -2.26955)
(x,y)=(35.8119, 1.5999)
(x,y)=(31.2032, -0.339144)
(x,y)=(35.8932, 1.3941)
(x,y)=(40.8914, 1.2615)
(x,y)=(36.2014, 2.9946)
(x,y)=(33.7269, 7.33936)
(x,y)=(29.9866, 4.02119)
(x,y)=(27.4356, 8.32146)
(x,y)=(23.1927, 10.9669)
(x,y)=(18.9974, 8.24677)
(x,y)=(15.1704, 5.02896)
(x,y)=(12.5437, 9.2834)
(x,y)=(8.92319, 5.83491)
(x,y)=(9.738, 10.7681)
(x,y)=(7.86031, 15.4021)
(x,y)=(12.8572, 15.5791)
(x,y)=(17.8072, 14.8736)
(x,y)=(21.3034, 11.2993)
(x,y)=(17.1817, 14.1297)
(x,y)=(16.106, 19.0126)
(x,y)=(21.0778, 19.5427)
(x,y)=(25.9027, 18.2308)
(x,y)=(22.0757, 15.013)
(x,y)=(24.9967, 10.955)
(x,y)=(26.1156, 6.08178)
(x,y)=(30.8055, 7.81503)
(x,y)=(34.1731, 4.11913)
(x,y)=(36.2135, 8.68385)
(x,y)=(40.9334, 10.3338)
(x,y)=(45.5248, 12.3136)
